Dataset,Adaptive RMSSE,Official rank (of 14),Deployable rank (of 12),Adaptive simple-model usage,Adaptive absolute usage deviation,Constraint passed,Static RMSSE,Static simple-model usage,Static absolute usage deviation,Adaptive minus static RMSSE (%),Usage-deviation reduction vs static
NN5 Daily,0.7726891000270169,9,7,0.6683321977439625,0.0316678022560374,False,0.7722639923385288,0.6385797562268151,0.0614202437731848,0.0550469389619889,0.0297524415171474
Pedestrian Hourly,0.398511057850908,5,3,0.7013752330362387,0.0013752330362387,True,0.3986947738700143,0.7233998178273787,0.0233998178273787,-0.0460793647538926,0.02202458479114
M4 Hourly,1.0820091996106491,12,10,0.7187461171166374,0.0187461171166374,True,1.0555032182120154,0.7465076237641337,0.0465076237641337,2.5112174876675386,0.0277615066474962
Electricity Hourly,0.5832021569806601,10,8,0.7000377368619668,3.773686196684167e-05,True,0.5809764960644745,0.7143816917798378,0.0143816917798378,0.3830896656340066,0.0143439549178709
Weather Daily,0.6919722073945873,10,8,0.7000417806893633,4.1780689363335455e-05,True,0.6899455456284898,0.6967472557683577,0.0032527442316422,0.2937422784940802,0.0032109635422788
