dataset_id,display_name,frequency,sample_policy,series_count,formal_test_rows,primary_mean_RMSSE,primary_rank_all_14,primary_rank_deployable_12,primary_simple_coverage,primary_absolute_coverage_violation,primary_coverage_constraint_passed,static_mean_RMSSE,static_simple_coverage,static_absolute_coverage_violation,primary_minus_static_relative_RMSSE_percent,primary_coverage_deviation_reduction_vs_static,random_forest_mean_RMSSE,random_forest_simple_coverage,lightgbm_mean_RMSSE,closeout_id
nn5_daily,NN5 Daily,daily,all 111 series,111,13209,0.7726891000270169,9,7,0.6683321977439625,0.0316678022560374,False,0.7722639923385288,0.6385797562268151,0.0614202437731848,0.05504693896198898,0.0297524415171474,0.7679507341191055,0.6399424634718752,0.7644856833190492,19d94eb087d1a7c45b7c01df3dcfe4b5f4dc4dcb03596e8802927013a1cb8275
pedestrian_hourly,Pedestrian Hourly,hourly,all 66 series,66,469884,0.398511057850908,5,3,0.7013752330362387,0.0013752330362387,True,0.3986947738700143,0.7233998178273787,0.0233998178273787,-0.04607936475389263,0.02202458479114,0.3896978268417363,0.7185581973423227,0.3986075509645361,06a0fe3785b58d8dc1516272176b84ee0d1bfc0fb73eb9932a1ec1200c995b2f
m4_hourly,M4 Hourly,hourly,all 414 series,414,56337,1.0820091996106491,12,10,0.7187461171166374,0.0187461171166374,True,1.0555032182120154,0.7465076237641337,0.0465076237641337,2.5112174876675386,0.027761506647496298,0.6928834180499295,0.7340823970037453,1.3804524471733348,74edb30acfd173ab688c72165387c2e429d9008cc650351f9f1634db7466d3e6
electricity_hourly,Electricity Hourly,hourly,all 321 series,321,1266666,0.5832021569806601,10,8,0.7000377368619668,3.773686196684167e-05,True,0.5809764960644745,0.7143816917798378,0.0143816917798378,0.3830896656340066,0.014343954917870959,0.558159111862416,0.701246421708643,0.6221879551804352,9b5a4d35b1b6c233a697083e22126dfc9d0de0a0726bc660c9c400f29fc92afb
weather_daily,Weather Daily,daily,fixed preregistered type-stratified 500-series sample,500,1105774,0.6919722073945873,10,8,0.7000417806893633,4.1780689363335455e-05,True,0.6899455456284898,0.6967472557683577,0.0032527442316422,0.2937422784940802,0.0032109635422788644,0.6793195598080554,0.6990225850851982,0.6743175640694049,24b8074dc9b2de6631b9cf6b78e3500f19019e4e760c8757e81bfccac2a4fea9
